Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-001,CART-001: Cart page and heading are visible,chromium,passed,8758,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-003,CART-003/CART-004: Quantity controls update cart,chromium,passed,4095,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-005,CART-005: Remove item from cart,chromium,passed,4984,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-007,CART-007: Continue shopping navigates to home,chromium,passed,5466,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-008,CART-008: Checkout button navigates to checkout info,chromium,passed,8040,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-002,CART-002: Cart row shows image name quantity controls and price,chromium,passed,6556,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-006,CART-006: Empty cart state is visible when all items removed,chromium,passed,11710,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-009,CART-009: Total formula remains non-decreasing when quantity increases,chromium,passed,3426,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-011,CART-011: Rapid quantity clicks keep cart interaction stable,chromium,passed,5380,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-010,CART-010: Cart route enforces access guard for unauthenticated state,chromium,passed,4786,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-001,CART-001-S: @smoke Cart page loads with items and heading,chromium,passed,8189,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-008,CART-008-S: @smoke Checkout button navigates to checkout-info,chromium,passed,7076,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-012,CART-012: @regression Cart persists item after page reload,chromium,passed,15743,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-013,CART-013: @regression Cart item row shows correct price format,chromium,passed,4656,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,4. CART PAGE,CART-014,CART-014: @regression Continue shopping from empty cart goes to home,chromium,passed,5932,,,,Test_Execute_Agent,
